"timestamp [UTC]",message,severityLevel,"operation_Name"
"10/15/2025, 9:09:26.058 PM","Executed 'Functions.snapshots-latest' (Failed, Id=2b5a0fdc-ca74-476d-9a46-4e7ed8bf37eb, Duration=1ms)",3,"snapshots-latest"
"10/15/2025, 9:09:26.057 PM","Executing 'Functions.snapshots-latest' (Reason='This function was programmatically called via the host APIs.', Id=2b5a0fdc-ca74-476d-9a46-4e7ed8bf37eb)",1,"snapshots-latest"
